Format;Appearances;Example;Interpretation;inaccurate;wrong
__ ?. __ i.e. __.__.____;4;20 XI. 95 [i.e. 20.11.1895];1895-11-20;;;
_/_ ? __ i.e. _./_._.____;4;6/7 IX 09 [i.e. 6./7.9.1909];1909-09-07;;;
__/_/__ i.e. __._.____;4;24/4/97 [i.e. 24.4.1897];1897-04-24;;;
_.?.____;4;2.IV.[18]37;1837-04-02;;;
__. ¢;3;[19. Jahrhundert];18XX;;;
le __ ?y ____;3;le 14 July 1844;1844;x;;
_. ?. ____;3;4. Oct. 1898;1898-10-04;;;
gezeichnet nach der Natur ____;3;gezeichnet nach der Natur 1765;1765;;;
le _ ? ____;3;le 5 7bre 1786;1786-09-05;;;
nach _. ? ____;3;[nach 8. November 1792];1792-11-08;x;;
__ ? __ aufg. i.e. __._.____;3;27 Mai 60 aufg. [i.e. 27.5.1860];1860-05-27;;;
_ ? __. aufg. i.e. _._.____;3;1 April 60. aufg. [i.e. 1.4.1860];1860-04-01;;;
? __ i.e. _.____;3;Sept 88 [i.e. 9.1888];1888-09;;;
cop. __ ?. __ i.e. __._.____;3;cop. 28 IX. 05 [i.e. 28.9.1905];1905-09-28;;;
__/? __ i.e. __._.____;3;31/I 09 [i.e. 31.1.1909];1909-01-31;;;
__. ?. __;3;21. Sept. 76;1976-09-21;;;
__ ?b __ i.e. __.__.____;3;27 Novb 66 [i.e. 27.11.1866];1866-11-27;;;
A°. ____;3;[A°. 1729];1729;;;
aufgenommen _ ? ____;3;aufgenommen 1 Novbr 1860;1860-11-01;;;
Sommer ____?;2;[Sommer 1837?];1837?;x;;
____ oder ____;2;[1842 oder 1843];1842;x;;
ca. ___-;2;[ca. 184-];1840?/1849?;;;
__. ?y ____;2;20. Juny 1807;1807;x;-;
____-____;2;1852-1853;1852/1853;;;
____ ?y __;2;1844 July 31;1844;x;-;
__ ?y ____;2;13 July 1844;1844;x;-;
anno ____;2;a[nn]o 1711;1711;;;
Schweiz;2;[Schweiz] ;;;;
ca. ____-____;2;[ca. 1770-1780];1770/1780;;;
le _. ?. ____;2;le 4. octobr. [17]82;1782-10-04;;;
le __ ?. ____;2;le 15 Aost. 1783;1783-08-15;;;
le _ ?. ____;2;le 1 Octobr. 1783;1783-10-01;;;
den _. ?. ____;2;den 1. Jul. 1784;1784-07-01;;;
____._.__;2;1784.9.14;1784-09-14;;;
nach __. ? ____;2;[nach 28. September 1792];1792-09-28;;;
Pfingsten ____;2;Pfingsten 1880;1880;x;;
Den __ ? ____;2;Den 16 Juli 1811;1811-07-16;;;
_ / __ ? ____;2;7 / 26 August 1859;1859-08-26;x;;
_ ?. __ i.e. _. __. ____;2;7 X. 89 [i.e. 7. 10. 1889];1889-10-07;;;
__ ? __ i.e. __. _. ____;2;14 Sept 81 [i.e. 14. 9. 1881];1881-09-14;;;
_ ? __ .i.e. _._.____;2;4 März 62 [.i.e. 4.3.1862];1862-03-04;;;
aufgenommen __ ? ____;2;aufgenommen 17 Oct 1861;1861-10-17;;;
en ?. ____;2;en avr. 1817;1817-04;;;
aufg. __ ? __ i.e. __._.____;2;aufg. 29 Juni 59 [i.e. 29.6.1859];1859-06-29;;;
_. ? __ i.e. _._.____;2;2. Sept 61 [i.e. 2.9.1861];1861-09-02;;;
Aufg __ ? __ i.e. __._.____;2;Aufg 18 März 60 [i.e. 18.3.1860];1860-03-18;;;
Herbst ____;2;Herbst 1889;1889;x;-;
_/__ ? ____;2;7/20 August 1859;1859-08-20;x;;
__ _ __ i.e. __._.____;2;25 4 73 [i.e. 25.4.1873];1873-04-25;;;
__ / __ ? __ i.e. __./__._.____;2;14 / 15 IX 92 [i.e. 14./15.9.1892];1892-09-15;x;;
__ i.e. ____;2;58 [i.e. 1858];1858;;;
__._.____;2;23.6.1897;1897-06-23;;;
_ ? __ aufg. i.e. _._.____;2;4 April 60 aufg. [i.e. 4.4.1860];1860-04-04;;;
Aufg _ ? ____;2;Aufg 3 Juli 1859;1859-07-03;;;
Anno ____;2;Anno 1751;1751;;;
__ ? ___ i.e. __._.____;2;26 III 904 [i.e. 26.3.1904];1904-03-26;;;
Aufg. _ ? ____;2;Aufg. 8 Juli 1859;1859-07-08;;;
____/__;2;1896/97;1896/1897;;;
?/?. ____;2;I/IV. 1904;1904-01;x;;
MDCC?? i.e. ____;2;MDCCXXI [i.e. 1721];1721;;;
___-?;2;[175-?];1750?/1759?;;;
_ ?. __ i.e. __._.____;2;2 Aug. 97 [i.e. 28.8.1897];1897-08-28;x;;
zwischen und ____ und ____;2;[zwischen und 1670 und 1712];1670/1712;;;
am __. ?. ____;2;[am 29. Jan. 1891];1891-01-29;;;
_ ? i.e. _._.____;2;9 April [i.e. 9.4.1862];1862-04-09;;;
_/_ ? __ i.e. _./_.__.____;2;8/9 Nov 66 [i.e. 8./9.11.1866];1866-11-09;x;;
nach ____?;2;[nach 1740?];1740/;;;
Aufgenommen __ ?b __ i.e. __.__.____;2;Aufgenommen 28 Octb 60 [i.e. 28.10.1860];1860-10-28;;;
Aufgenommen _ ? __ i.e. _._.____;2;Aufgenommen 8 Juli 60 [i.e. 8.7.1860];1860-07-08;;;
_._.____;2;[8.7.1860];1860-07-08;;;
den _ ?. ____;2;d[en] 8 Sep. [18]74;1874-09-08;;;
__.?.____;2;27.IX.1874;1874-09-27;;;
?. __.;1;Febr. 36.;1936-02;;;How do you know its the 20th century?
ca. ___-?;1;[ca. 183-?];1830?/1839?;;;
?/? ____;1;[Februar/März 1740];1740-02;x;;
ca. __--;1;[ca. 18--];1800?/1899?;;;
__. ¢?;1;[19. Jahrhundert?];18XX;;;
le _ ? ____ -;1;le 2 Aout 1844 -;1844-08-02;;;
____ ?;1;1844 Septbr;1844;x;;
?y __ = ____;1;July 31 = 1844;1844;x;;
le __. ?y ____;1;le 12. July 1844;1844;x;;
ca. ____/__;1;[ca. 1835/36];1835/1836;;;
Di. __.t ?. ____;1;Di. 16.t Febr. 1835;1835-02-16;;;
? ____?;1;[Oktober 1841?];1841-10~;;;
zwischen ____ - ____?;1;[zwischen 1770 - 1790?];1770/1790;;;
nicht nach ____;1;[nicht nach 1895];/1895;;;
le _ ?. ____ __h. matin;1;le 3 Aust. 1787 11h. m[atin];1787-08-03;;;
ca. ____/____;1;[ca. 1515/1516];1515/1516;;;
zwischen ____ und vor ____?;1;[zwischen 1847 und vor 1856?];1847?;x;x;
Samstag _. ? ____;1;Samstag 6. May 1854;1854-05-06;;;
__._.____?;1;21.1.[17]83?;1783-01-21;;;
vermutlich um ____;1;[vermutlich um 1856];1856?;;;
le ?. ____;1;le 7br. 1784;1784-09;;;
le __._.____;1;le 13.7.1785;1785-07-13;;;
... ? ____;1;[...] März [18]62;1862-03;;;
den __._.____ um _ Uhr dess Morgens;1;den 17.8.1785 um 9 Uhr dess Morgens;1785-08-17;;;
den __._.____ um __ Uhr des Morgens;1;den 20.8.1785 um 10 Uhr des Morgens;1785-08-20;;;
le __.__.____;1;le 18.11.1786;1786-11-18;;;
le _ ? ____ ... à _ hrs.;1;le 4 October 1787 ... à 2 hrs.;1787-10-04;;;
den __ten ?: ____;1;den 23ten Dec: 1817;1817;x;;
dn __. ?. ____;1;dn 28. 7br. 1792;1792-09-28;;;
d. _. ?. ____;1;d. 5. 8br. 1792;1792-10-05;;;
im ? ____;1;im 9br 1792;1792-11;;;
den ?. ____;1;den Augst. 1794;1794-08;;;
Den __ ?. ____;1;Den 24 Augst. 1805;1805-08-24;;;
Den __. ?. ____;1;Den 28. Jul. 1812;1812-07-28;;;
Den . . ____;1;Den . . 1814;1814;;;
_... ? ____;1;2[...] Aug [18]61;1861-08-02;x;;
__ / __ ? ____;1;22 / 29 Aug [18]59;1859-08-29;x;;
__ / __ ?. ____;1;22 / 30 Aug. [18]59;1859-08-30;x;;
... ____;1;[...] 1872;1872;;;
Charfreitag __ ? ____;1;Charfreitag 13 April 1900;1900-04-13;;;
_ ? __ i.e._.__.____;1;7 X 89 [i.e.7.10.1889];1889-10-07;;;
aufgen. __ ? __ i.e. __._.____;1;aufgen. 11 Sept 59 [i.e. 11.9.1859];1859-09-11;;;
__ ? __ sowie am rechten Bildrand __ ? __ i.e. __._. bzw. __.__.____;1;[11] Sept 59 sowie am rechten Bildrand 24 Oct 59 [i.e. 11.9. bzw. 24.10.1859];1859-10-24;x;;
den __. ?. ____ gzcht;1;den 22. Jul. 1820 gzcht;1820-07-22;;;
__ ?... __ __.__.____;1;17 Oct[...] 61 [17.10.1861];1861-10-17;;;
__ ? __ / __ ? __ i.e. __._. bzw. __.__.____;1;11 Sept 59 / 21 Oct 59 [i.e. 11.9. bzw. 21.10.1859];1859-10-21;x;;
genau gezeichnet. __ ? ____;1;genau gezeichnet. 24 Juni 1860;1860-06-24;;;
en ? ____;1;en May 1817;1817-05;;;
__ ? __ ziemlich genau i.e. __._.____;1;30 V 89 ziemlich genau [i.e. 30.5.1889];1889-05-30;;;
Am Auffahrtstage ____, __ ?;1;Am Auffahrtstage 1889[,] 30 Mai;1889;x;;
en ?l. ____;1;en avrl. 1817;1817;x;-;
en ?l ____;1;en avrl 1817;1817;x;-;
circa ____?;1;[circa 1710?];1710?;;;
Mei ____;1;Mei 1780;1780;x;-;
le __ d'av. ____;1;le 20 d'av. [17]84;1784;x;-;
le __._.____ à __h.;1;le 21.7.1785 à 12h.;1785-07-21;;;
le __._.____. à __ heures du matin;1;le 31.7.1785. à 11 heures du matin;1785-07-31;;;
le _ ? ____ à _h. s.;1;le 1 aoust 1785 à 5h. s.;1785-08-01;;;
le _ ? ____ à _h. du soir;1;le 5 aoust 1785 à 3h. du soir;1785-08-05;;;
le __._.____. à _.h. du matin;1;le 11.8.1785. à 6.h. du matin;1785-08-11;;;
le __._.____. à __h. du matin;1;le 10.8.1785. à 10h. du matin;1785-08-10;;;
_/_ ? __ i.e. _._. ? ____;1;4/5 April 61 [i.e. 4.5. April 1861];1861-04-05;x;;
den __._.____ __. Uhr;1;den 25.8.1785 10. [Uhr];1785-08-25;;;
den __. ? ____ abends um _ Uhr;1;den 25. Augst 1785 abends um 3 Uhr;1785-08-25;;;
le __. ? ____ à _h. du soir;1;le 23. mars 1786 à 4h. du soir;1786-03-23;;;
le __. ?. ____. à _h. soir;1;le 24. avr. 1786. à 6h. s[oir];1786-04-24;;;
le __. av. ____. __h. matin;1;le 25. av. 1786. 10h. m[atin];1786;x;;
le __. ? ____. _h. ssoir;1;le 12. May 1786. 4h. s[soir];1786-05-12;;;
le __. ? ____. _h. soir;1;le 18. juin 1786. 6h. s[oir];1786-06-18;;;
le __ ?v. ____. à __h. matin;1;le 14 janv. 1787. à 11h. m[atin];1787;x;;
le _. _ber ____ à _. heures du soir;1;le 4. 8ber 1787 à 3. [heures du] s[oir];1787;x;;
__/__. ?. __ i.e. __./__._.____;1;18/19. II. 99 [i.e. 18./19.2.1899];1899-02-19;x;;
Travaillé le __ ? ____;1;Travaillé le 25 Juin 1849;1849-06-25;;;
le _. ?l ____;1;le 1. avrill 1788;1788;x;-;
den __. ?l ____;1;den 20. Aprill 1788;1788;x;-;
_ ? __ i.e._._.____;1;2 Sept 61 [i.e.2.9.1861];1861-09-02;;;
gez. den __. ?. ____. gemalt den __ ? ____;1;gez. den 16. Sept. 1872. gemalt den 17 Februar 1873;1872-09-16;;;
Ostersamstag __ ? ____;1;Ostersamstag 15 IV 1900;1900-04-15;;;
_. ? ____.;1;7. Juli [18]91.;1891.-07-07;!;!;
____. ad. nat.;1;1813. ad. nat.;1813;;;
__/_ ? ____;1;27/8 Sept 1911;1911-09-08;x;;
_ ?. __ _._.____;1;8 Sept. 11 [8.9.1911];1911-09-08;;;
_. ?. __ i.e. ____;1;3. Nov. 61 [i.e. 1861];1861-11-03;;;
Montag den __. ?. __ i.e. ____;1;Montag den 30. Sept. 67 [i.e. 1867];1867-09-30;;;
aufgenommen den __. ? ____;1;aufgenommen den 15. Juni 1865;1865-06-15;;;
Montag den __. ? ____;1;Montag den 13. März 1871;1871-03-13;;;
Montag den _. ? ____;1;Montag den 6. März 1871;1871-03-06;;;
Donnerstag den _. ? ____;1;Donnerstag den 9. März 1871;1871-03-09;;;
Donnerstag den __. ? ____;1;Donnerstag den 13. April 1871;1871-04-13;;;
gez. den __ ? ____ fertig gemalt den __. ? __;1;gez. den 16 Sept 1872 fertig gemalt den 13. May 73;1872-09-16;;;
? br ____;1;Sept br 1903;1903;x;;
__ ?y __ i.e. __._.____;1;20 July 61 [i.e. 20.7.1861];1861-07-20;;;
aufgen _ ? ____;1;[aufgen 9 May 1861];1861-05-09;;;
? __ i. e. ? ____;1;Mai 86 [i. e. Mai 1886];1886-05;;;
A°. anno ____;1;A°. [anno] 1706;1706;;;
ad. nat. __.__.____.;1;ad. nat. 18.11.1818.;1818-11-18;;;
____ ad. nat.;1;1813 ad. nat.;1813;;;
den __ ? ? ____;1;den 10 Mars [März] 1811;1811-03;x;;
__ / __ ? __ i.e. __./__.__.____;1;16 / 19 Oct 59 [i.e. 16./19.10.1859];1859-10-19;x;;
__ ?em ____;1;27 [Novem] 1874;1874;x;;
__ ? __ aufg i.e. __._.____;1;18 März 60 aufg [i.e. 18.3.1860];1860-03-18;;;
aufgen __ ? __ i.e. __._.____;1;aufgen 31 Juli 59 [i.e. 31.7.1859];1859-07-31;;;
Am Ostersonntag ____;1;Am Ostersonntag [18]83;1883;x;;Add date or time range? (22.3.-25.4.)
den __ ? ____, morgens;1;den 14 Augst 1793, morgens;1793-08-14;;;
_ ?b ____;1;8 Novb 1859;1859;x;;
_ / __ ?. ____;1;7 / 23 Aug. 1859;1859-08-23;x;;
__ ? __ i.e.__._.____;1;30 IX 92 [i.e.30.9.1892];1892-09-30;;;
_. ? __ aufg. i.e. _._.____;1;4. April 60 aufg. [i.e. 4.4.1860];1860-04-04;;;
__ ? __ genau i.e. __._.____;1;22 Mai 89 genau [i.e. 22.5.1889];1889-05-22;;;
Palmsonntag __ ? __ i.e. __._.____;1;Palmsonntag 22 III 91 [i.e. 22.3.1891];1891-03-22;;;
__ ?b. ____;1;27 Octb. 1861;1861;x;;
Pfingstsonntag _ ?. __ i.e. _._.____;1;Pfingstsonntag 5 VI. 92 [i.e. 5.6.1892];1892-06-05;;;
ca ____;1;ca 1853;1853?;;;
__ ? __ i.e. __ ? __;1;26 IX 87 [i.e. 26 IX 87];1987-09-26;;;
ca. vor ____;1;[ca. vor 1878];1878?;x;;
Ostermontag _ ?. ____ i.e. _._.____;1;Ostermontag 8 IV. 1901 [i.e. 8.4.1901];1901-04-08;;;
Aufg. __ ? ____;1;Aufg. 31 März 1860;1860-03-31;;;
cop. ? ____;1;cop. Maerz 1884;1884-03;;;
__/__ ? __;1;20/21 Sept 81;1981-09-21;x;;
Aufg. __ ?. __ i.e. __._.____;1;Aufg. 19 Sept. 58 [i.e. 19.9.1858];1858-09-19;;;
_.__.__.__ i.e. ? ____;1;2.11.20.86 [i.e. [?] 1886];0020-11-02;x;x;
aufg. _ ? ____;1;aufg. 8 Juli 1859;1859-07-08;;;
Aufg._ ? __ i.e. _._.____;1;Aufg.9 Juli 59 [i.e. 9.7.1859];1859-07-09;;;
ca. ____ und ____;1;[ca. 1890 und 1904];1890/1904;x;;
Aufge __ ? __ i.e. __._.____;1;Aufge 21 April 60 [i.e. 21.4.1860];1860-04-21;;;Format;Appearances;Example;Interpretation;inaccurate;wrong;note
____;3680;[1860];1860;;;
zwischen ____ und ____;2048;[zwischen 1877 und 1899];1877/1899;;;
zwischen ____ und ____?;1000;[zwischen 1830 und 1840?];1830/1840;;;
circa ____?;804;[circa 1850?];1850?;;;
circa ____;442;[circa 1845];1845?;;;
nicht vor ____;386;[nicht vor 1891];1891/;;;
nicht nach ____;354;[nicht nach 1896];/1896;;;
____?;219;[1850?];1850?;;;
nach ____;143;[nach 1841];1841/;;;
vor ____;107;[vor 1794];/1794;;;
um ____;105;[um 1840];1840?;;;
__. ? ____;62;26. März [18]96;1896-03-26;;;
? ____;53;August 1900;1900-08;;;
?. __. ____;48;Aug. 18. 1859;1859-08;x;;
__ ? ____;42;14 Sept 1866;1866-09-14;;;
__. ?. ____;41;19. Oct. [18]58;1858-10-19;;;
__. ¢;39;19. Jahrhundert;18XX;;;
__. ¢?;38;[17. Jahrhundert?];16XX;;;
ca. ____;35;[ca. 1890];1890?;;;
nicht vor ____?;33;[nicht vor 1863?];1863/;;;
nicht nach ____?;29;[nicht nach 1837?];/1837;;;
_. ? ____;27;8. April 1897;1897-04-08;;;
____ oder ____;22;[1704 oder 1742];1704;x;;
__. ?y ____;21;10. July 1803;1803;x;;
um ____?;19;[um 1820?];1820?;;;
__ ?. ____;19;14 Sept. 1866;1866-09-14;;;
?. ____;16;Aug. 1908;1908-08;;;
_ ? ____;16;8 Sept [18]81;1881-09-08;;;
_. ?. ____;14;2. VI. 1822;1822-06-02;;;
__.;13;93.;;!;!;
__._.____;11;24.7.1838;1838-07-24;;;
_ ?. ____;11;8 Aug. [18]94;1894-08-08;;;
__.?.____;11;15.II.1943;1943-02-15;;;
am Neujahrstage ____;11;am Neujahrstage 1813;1813;x;;Add date?
?. _. ____;10;Sept. 2. [18]95;1895;x;;
__;9;88;;x;x;
Fed ____;9;Fed 1856;1856;;;
?. __ ____;7;Oct. 15 [18]59;1859-10;x;;
_.?.____;7;7.VIII.[18]98;1898-08-07;;;
Zwischen ____ und ____;7;[Zwischen 1913 und 1934];1913/1934;;;
__/_ ____;6;30/1 [18]70;1870;x;;
_/_ ____;6;6/6 [18]92;1892;x;;
? __.____;6;Oct 30.[18]61;1861-10;;;
A.D.____;6;A.D.1931;1931;;;
"zwischen ____ und ____;\_";6;"[zwischen 1880 und 1900];\1";1880/1900;;;
ca. ____?;5;[ca. 1788?];1788?;;;
_/_. ____;5;6/6. [18]92;1892;x;;
__/_. ____;5;31/5. 1903;1903;x;;
? _. ____;5;Juni 6. [18]60;1860;x;;
? __. ____;5;Juni 26. [18]58;1858-06;x;;
zwischen ____-____;4;[zwischen 1820-1828];1820/1828;;;
__.__.____;4;01.30.[18]61;1861-01-30;;;
____ ?;4;1842 Juni;1842;x;;
__. ? __;4;29. Juli 85;1985-07-29;;;
____/____;4;1920/1921;1920/1921;;;
__. ?. ____.;4;19. 8br. 1803.;1803.-10-19;!;!;
vor ____?;4;[vor 1898?];/1898;;;
"zwischen ____ und ____?;\_";4;"[zwischen 1840 und 1852?];\3";1840/1852;;;
den __. ?. ____;4;den 30. Aug. 1870;1870-08-30;;;
nicht vor __. ? ____;3;[nicht vor 13. Dezember 1808];1808-12-13;x;;
"le _r ? ____;\_";3;"le 1r Avril 1865;\1";1865-04;x;;
_/_.____;3;4/4.[18]92;1892;x;;
__/__ ? ____;3;13/18 Mai 1867;1867-05-18;x;;
?. _.____;3;Oct. 4.[18]60;1860;x;;
? _ ____;3;Juli 2 1875;1875;x;;
?.__.____;3;Oct.30.[18]61;1861-10;;;
A.D. ____;3;A.D. 1912;1912;;;
__. _ber ____.;3;12. 2ber 1804.;1804;x;;
am __. ? ____;3;am 25. August 1863;1863-08-25;;;
_. _ter ____;3;7. 8ter 1823;1823;x;;
nach ____?;3;[nach 1820?];1820/;;;
am Neujahrstag ____;3;am Neujahrstag 1810;1810;x;;Add date?
am Neujahr ____;3;am Neujahr 1811;1811;x;;Add date?
"____;\_";3;"[1814];\1";1814;;;
? Etat ____;2;II Etat 1887;1887;;;
?. __;2;Aug. 99;1999-08;;;
aufgenommen im ? ____;2;aufgenommen im Juni 1876;1876-06;;;
A° ____;2;A° 1804;1804;;;
? __;2;Juli 55;1955-07;;;
_ ? __;2;6 Juli 73;1973-07-06;;;
____ und ____?;2;[1850 und 1860?];1850/1860;x;;
Herbst ____;2;Herbst 1864;1864;x;;Add time range?
_._.____;2;4.3.1913;1913-03-04;;;
Ao ____;2;Ao 1914;1914;;;
_. ?y ____;2;5. July 1803;1803;x;;
__. ?b. ____;2;13. Octb. 1803;1803;x;;
__. _ber ____;2;21. 8ber 1806;1806;x;;
__. ?.____;2;13. Aug.1806;1806-08-13;;;
__. Sptb.____;2;14. Sptb.1818;1818;x;;
_. Sptb. ____;2;1. Sptb. 1823;1823;x;;
?.____;2;Sept.[18]76;1876-09;;;
nicht nach __. ? ____;2;[nicht nach 14. Mai 1913];1913-05-14;x;;
?._.____;2;Feb.3.1925;1925;x;;
? _.____;2;Juni 3.1924;1924;x;;
anno ____;2;anno 1914;1914;;;
im ? ____;2;im Juli 1899;1899-07;;;
? _. nicht nach ____;2;März 3. [nicht nach 1913];1913;x;;
gez Fed ____;2;gez Fed 1856;1856;;;
__.?.__;2;26.VIII.48;1948-08-26;;;
Ao. ____;1;Ao. 1707;1707;;;
"____;_\";1;"[1903];0\";1903;;;
__. Jahrundert?;1;[19. Jahrundert?];;x;x;
__. ... ____;1;21. [...] 1795;1795;x;;
Anno __;1;Anno 58;;x;x;
_/_ ? ____;1;1/2 Juli [18]79;1879-07-02;x;;
_/__. ____;1;6/11. [19]07;1907;x;;
__. _. ____;1;28. 9. [18]93;1893;x;;
_ / _. ____;1;8 / 9. [19]06;1906;x;;
_.__.____;1;1.12.[18]93;1893-12-01;;;
Sommer ____;1;Sommer 1892;1892;x;;Add time range?
____. ?;1;1891. Maerz;1891;x;;
Aufgenommen den _ ? ____;1;Aufgenommen den 5 August 1860;1860-08-05;;;
_ ?: ____;1;5 Aug: [18]60;1860;x;;
_ __ ____;1;1 10 [18]92;1892;x;;
Fr. _. ?. ____;1;Fr. 1. Aug. 1878;1878-08-01;;;
zwsichen ____ und ____;1;[zwsichen 1758 und 1761];1758/1761;;;
Anno ____;1;Anno 1702;1702;;;
Jui _ ____;1;Jui 4 1875;1875;x;;
?. __ - ?. _ ____;1;Sept. 21 - Oct. 4 [18]74;1874-09;x;;
?._. ____;1;Nov.8. [1861];1861;x;;
__. u. __. ? ____;1;13. u. 14. April 1824;1824-04-14;x;;
____. ?. _.;1;1859. Sept. 4.;1859;x;;
__ _ ____;1;17 7 [18]60;1860;x;;
__/?.____;1;29/I.[18]67;1867-01;x;;
? __ ____;1;Mar 10 [18]61;1861-03;x;;
__/?. ____;1;27/III. [18]61;1861-03;x;;
___?;1;185[?];;x;x;
gez. d. __. ? ____;1;gez. d. 14. May 1868;1868-05-14;;;
d. __ ? __;1;d. 15 May 60;1960-05-15;;;
__.?. __;1;31.III. 73;1973-03-31;;;
A. ____;1;A. 1647;1647;;;
? _. __;1;Juni 1. 59;;x;x;
ad Nat. d. __. ... ____;1;ad Nat. d. 25. [...] 1795;1795;x;;
ad Nat. d. __. ?. ____;1;ad Nat. d. 25. Oct. 1795;1795-10-25;;;
fecit ____ ?;1;fecit 1856 Juli;1856;x;;
chez Baumann Peters;1;chez Baumann Peters;;;;
__?__;1;[18?]97;;x;x;
__. ? ____?;1;26. Mai [1867?];1867-05-26;;;
gezeichnet ____;1;[gezeichnet 1924];1924;;;
____.;1;1914.;1914;;!;!
Zürich ____;1;Zürich 1917;1917;;;
MCM??;1;MCMXXVIII;;x;x;
Anno domini ____;1;Anno domini 1917;1917;;;
